Loading checkpoint shards: 100%|██████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:16<00:00,  4.02s/it]
------------------------------------------------------------------------------------------
TOTAL PARAMS: 5,518,202,624
TRAINABLE PARAMS: 168,666,880 (3.0566%)
------------------------------
 > LLM LoRA Params (Trainable):      6,815,744
 > Whisper LoRA Params (Trainable): 0
 > Downsampler Params (Frozen): 8,195,840
 > Adapter Params (Frozen): 21,510,144
 > Cross Attention Params (Trainable): 132,145,152
 > CTC Head Params (Trainable): 0
 > Audio Head Params (Trainable): 0
 > Duration Token Params (Trainable): 0
 > Base LLM (Frozen):            4,712,566,784
 > Whisper (Frozen):     636,968,960
==================================================


--- Module Parameters ---
Downsampler Params: 8,195,840
Adapter Params: 21,510,144
Cross-Attention Params: 132,145,152
CTC Head Params: 0
Audio Head Params: 0
Duration Params: 0
Whisper Params: 636,968,960
LLM Params: 4,851,527,680
----------------------------
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                            

{'loss': 9.9128, 'grad_norm': 64.18341064453125, 'learning_rate': 2.0000000000000003e-06, 'loss/total_loss': 2.5740833282470703, 'loss/lm_loss': 2.5740833282470703, 'epoch': 0.02}
{'loss': 7.2015, 'grad_norm': 60.661231994628906, 'learning_rate': 4.5e-06, 'loss/total_loss': 1.8027429580688477, 'loss/lm_loss': 1.8027429580688477, 'epoch': 0.04}
{'loss': 6.1064, 'grad_norm': 13.155872344970703, 'learning_rate': 7.000000000000001e-06, 'loss/total_loss': 1.4938806533813476, 'loss/lm_loss': 1.4938806533813476, 'epoch': 0.06}
{'loss': 5.6604, 'grad_norm': 10.699445724487305, 'learning_rate': 9.5e-06, 'loss/total_loss': 1.4276630401611328, 'loss/lm_loss': 1.4276630401611328, 'epoch': 0.08}
{'loss': 5.152, 'grad_norm': 12.142704010009766, 'learning_rate': 1.2e-05, 'loss/total_loss': 1.2539776802062987, 'loss/lm_loss': 1.2539776802062987, 'epoch': 0.1}
{'loss': 4.7371, 'grad_norm': 16.99700355529785, 'learning_rate': 1.45e-05, 'loss/total_loss': 1.1885053634643554, 'loss/lm_loss': 1.1885053634643554, 'epoch': 0.11}
{'loss': 4.6298, 'grad_norm': 9.214984893798828, 'learning_rate': 1.7000000000000003e-05, 'loss/total_loss': 1.1005271911621093, 'loss/lm_loss': 1.1005271911621093, 'epoch': 0.13}
{'loss': 4.3008, 'grad_norm': 11.213839530944824, 'learning_rate': 1.9500000000000003e-05, 'loss/total_loss': 1.0791704177856445, 'loss/lm_loss': 1.0791704177856445, 'epoch': 0.15}
{'loss': 4.0593, 'grad_norm': 9.668242454528809, 'learning_rate': 2.2000000000000003e-05, 'loss/total_loss': 0.9914058685302735, 'loss/lm_loss': 0.9914058685302735, 'epoch': 0.17}
{'loss': 3.718, 'grad_norm': 10.343703269958496, 'learning_rate': 2.45e-05, 'loss/total_loss': 0.9086334228515625, 'loss/lm_loss': 0.9086334228515625, 'epoch': 0.19}
{'loss': 3.6934, 'grad_norm': 9.657122611999512, 'learning_rate': 2.7000000000000002e-05, 'loss/total_loss': 0.9232370376586914, 'loss/lm_loss': 0.9232370376586914, 'epoch': 0.21}
