Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:49<00:00, 12.44s/it]
------------------------------------------------------------------------------------------
TOTAL PARAMS: 5,518,202,624
TRAINABLE PARAMS: 168,666,880 (3.0566%)
------------------------------
 > LLM LoRA Params (Trainable):      6,815,744
 > Whisper LoRA Params (Trainable): 0
 > Downsampler Params (Frozen): 8,195,840
 > Adapter Params (Frozen): 21,510,144
 > Cross Attention Params (Trainable): 132,145,152
 > CTC Head Params (Trainable): 0
 > Audio Head Params (Trainable): 0
 > Duration Token Params (Trainable): 0
 > Base LLM (Frozen):            4,712,566,784
 > Whisper (Frozen):     636,968,960
==================================================


--- Module Parameters ---
Downsampler Params: 8,195,840
Adapter Params: 21,510,144
Cross-Attention Params: 132,145,152
CTC Head Params: 0
Audio Head Params: 0
Duration Params: 0
Whisper Params: 636,968,960
LLM Params: 4,851,527,680
----------------------------
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                           

{'loss': 8.7293, 'grad_norm': 49.55481719970703, 'learning_rate': 2.0000000000000003e-06, 'loss/total_loss': 2.1483510971069335, 'loss/lm_loss': 2.1483510971069335, 'epoch': 0.0}
{'loss': 6.5592, 'grad_norm': 45.65080261230469, 'learning_rate': 4.5e-06, 'loss/total_loss': 1.5758852005004882, 'loss/lm_loss': 1.5758852005004882, 'epoch': 0.0}
{'loss': 6.0687, 'grad_norm': 8.591614723205566, 'learning_rate': 7.000000000000001e-06, 'loss/total_loss': 1.561830997467041, 'loss/lm_loss': 1.561830997467041, 'epoch': 0.01}
{'loss': 5.6197, 'grad_norm': 9.91537857055664, 'learning_rate': 9.5e-06, 'loss/total_loss': 1.4686972618103027, 'loss/lm_loss': 1.4686972618103027, 'epoch': 0.01}
{'loss': 5.4565, 'grad_norm': 22.104616165161133, 'learning_rate': 1.2e-05, 'loss/total_loss': 1.3727391242980957, 'loss/lm_loss': 1.3727391242980957, 'epoch': 0.01}
{'loss': 5.5164, 'grad_norm': 121.10360717773438, 'learning_rate': 1.4249999999999999e-05, 'loss/total_loss': 1.3612130165100098, 'loss/lm_loss': 1.3612130165100098, 'epoch': 0.01}
{'loss': 5.1354, 'grad_norm': 38.96379852294922, 'learning_rate': 1.675e-05, 'loss/total_loss': 1.2842472076416016, 'loss/lm_loss': 1.2842472076416016, 'epoch': 0.02}
{'loss': 4.9442, 'grad_norm': 27.73391342163086, 'learning_rate': 1.925e-05, 'loss/total_loss': 1.2203248023986817, 'loss/lm_loss': 1.2203248023986817, 'epoch': 0.02}
{'loss': 4.6066, 'grad_norm': 17.75726890563965, 'learning_rate': 2.175e-05, 'loss/total_loss': 1.1441764831542969, 'loss/lm_loss': 1.1441764831542969, 'epoch': 0.02}
{'loss': 4.2172, 'grad_norm': 16.259197235107422, 'learning_rate': 2.425e-05, 'loss/total_loss': 1.0535634994506835, 'loss/lm_loss': 1.0535634994506835, 'epoch': 0.02}
{'loss': 4.1217, 'grad_norm': 10.803478240966797, 'learning_rate': 2.6750000000000003e-05, 'loss/total_loss': 1.026742649078369, 'loss/lm_loss': 1.026742649078369, 'epoch': 0.02}
{'loss': 3.9766, 'grad_norm': 12.077656745910645, 'learning_rate': 2.925e-05, 'loss/total_loss': 0.958155632019043, 'loss/lm_loss': 0.958155632019043, 'epoch': 0.03}
