Loading checkpoint shards: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:33<00:00,  8.38s/it]
------------------------------------------------------------------------------------------
TOTAL PARAMS: 5,539,700,480
TRAINABLE PARAMS: 190,164,736 (3.4328%)
------------------------------
 > LLM LoRA Params (Trainable):      6,815,744
 > Whisper LoRA Params (Trainable): 0
 > Downsampler Params (Frozen): 8,195,840
 > Adapter Params (Frozen): 43,008,000
 > Cross Attention Params (Trainable): 132,145,152
 > CTC Head Params (Trainable): 0
 > Audio Head Params (Trainable): 0
 > Duration Token Params (Trainable): 0
 > Base LLM (Frozen):            4,712,566,784
 > Whisper (Frozen):     636,968,960
==================================================


--- Module Parameters ---
Downsampler Params: 8,195,840
Adapter Params: 43,008,000
Cross-Attention Params: 132,145,152
CTC Head Params: 0
Audio Head Params: 0
Duration Params: 0
Whisper Params: 636,968,960
LLM Params: 4,851,527,680
----------------------------
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                                        

{'loss': 9.6317, 'grad_norm': 94.49347686767578, 'learning_rate': 1.25e-06, 'loss/total_loss': 2.377083587646484, 'loss/lm_loss': 2.377083587646484, 'epoch': 0.0}
{'loss': 7.0987, 'grad_norm': 16.92815399169922, 'learning_rate': 3.75e-06, 'loss/total_loss': 1.731680679321289, 'loss/lm_loss': 1.731680679321289, 'epoch': 0.0}
{'loss': 6.1722, 'grad_norm': 10.80270767211914, 'learning_rate': 6.25e-06, 'loss/total_loss': 1.5874341964721679, 'loss/lm_loss': 1.5874341964721679, 'epoch': 0.01}
{'loss': 5.6598, 'grad_norm': 7.793672561645508, 'learning_rate': 8.75e-06, 'loss/total_loss': 1.4769710540771483, 'loss/lm_loss': 1.4769710540771483, 'epoch': 0.01}
{'loss': 5.4444, 'grad_norm': 8.692877769470215, 'learning_rate': 1.125e-05, 'loss/total_loss': 1.3661946296691894, 'loss/lm_loss': 1.3661946296691894, 'epoch': 0.01}
{'loss': 5.2631, 'grad_norm': 13.09376049041748, 'learning_rate': 1.3750000000000002e-05, 'loss/total_loss': 1.3000984191894531, 'loss/lm_loss': 1.3000984191894531, 'epoch': 0.01}
{'loss': 4.9139, 'grad_norm': 12.463455200195312, 'learning_rate': 1.6250000000000002e-05, 'loss/total_loss': 1.2383247375488282, 'loss/lm_loss': 1.2383247375488282, 'epoch': 0.02}
{'loss': 4.7602, 'grad_norm': 13.315510749816895, 'learning_rate': 1.8750000000000002e-05, 'loss/total_loss': 1.1697519302368165, 'loss/lm_loss': 1.1697519302368165, 'epoch': 0.02}
{'loss': 4.4632, 'grad_norm': 13.538708686828613, 'learning_rate': 2.125e-05, 'loss/total_loss': 1.1157846450805664, 'loss/lm_loss': 1.1157846450805664, 'epoch': 0.02}
{'loss': 4.1048, 'grad_norm': 7.854289531707764, 'learning_rate': 2.375e-05, 'loss/total_loss': 1.0313508987426758, 'loss/lm_loss': 1.0313508987426758, 'epoch': 0.02}
{'loss': 3.9815, 'grad_norm': 8.812296867370605, 'learning_rate': 2.625e-05, 'loss/total_loss': 0.9883389472961426, 'loss/lm_loss': 0.9883389472961426, 'epoch': 0.02}
