Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:51<00:00, 12.80s/it]
------------------------------------------------------------------------------------------
TOTAL PARAMS: 5,511,386,880
TRAINABLE PARAMS: 161,851,136 (2.9367%)
------------------------------
 > LLM LoRA Params (Trainable):      0
 > Whisper LoRA Params (Trainable): 0
 > Downsampler Params (Trainable): 8,195,840
 > Adapter Params (Trainable): 21,510,144
 > Cross Attention Params (Trainable): 132,145,152
 > CTC Head Params (Trainable): 0
 > Audio Head Params (Trainable): 0
 > Duration Token Params (Trainable): 0
 > Base LLM (Frozen):            4,712,566,784
 > Whisper (Frozen):     636,968,960
==================================================


--- Module Parameters ---
Downsampler Params: 8,195,840
Adapter Params: 21,510,144
Cross-Attention Params: 132,145,152
CTC Head Params: 0
Audio Head Params: 0
Duration Params: 0
Whisper Params: 636,968,960
LLM Params: 4,844,711,936
----------------------------
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                           

{'loss': 9.2894, 'grad_norm': 62.45000076293945, 'learning_rate': 2.0000000000000003e-06, 'loss/total_loss': 2.28531436920166, 'loss/lm_loss': 2.28531436920166, 'epoch': 0.0}
{'loss': 6.597, 'grad_norm': 22.701663970947266, 'learning_rate': 4.5e-06, 'loss/total_loss': 1.5937188148498536, 'loss/lm_loss': 1.5937188148498536, 'epoch': 0.0}
{'loss': 5.9062, 'grad_norm': 12.146828651428223, 'learning_rate': 7.000000000000001e-06, 'loss/total_loss': 1.5138972282409668, 'loss/lm_loss': 1.5138972282409668, 'epoch': 0.01}
{'loss': 5.0743, 'grad_norm': 10.428638458251953, 'learning_rate': 9.5e-06, 'loss/total_loss': 1.3234865188598632, 'loss/lm_loss': 1.3234865188598632, 'epoch': 0.01}
{'loss': 4.3891, 'grad_norm': 10.98685359954834, 'learning_rate': 1.2e-05, 'loss/total_loss': 1.0963668823242188, 'loss/lm_loss': 1.0963668823242188, 'epoch': 0.01}
{'loss': 4.0407, 'grad_norm': 8.77035140991211, 'learning_rate': 1.45e-05, 'loss/total_loss': 0.9865222930908203, 'loss/lm_loss': 0.9865222930908203, 'epoch': 0.01}
{'loss': 3.6658, 'grad_norm': 8.746865272521973, 'learning_rate': 1.7000000000000003e-05, 'loss/total_loss': 0.9071165084838867, 'loss/lm_loss': 0.9071165084838867, 'epoch': 0.02}
{'loss': 3.554, 'grad_norm': 11.360185623168945, 'learning_rate': 1.9500000000000003e-05, 'loss/total_loss': 0.8655187606811523, 'loss/lm_loss': 0.8655187606811523, 'epoch': 0.02}
{'loss': 3.3928, 'grad_norm': 9.33032512664795, 'learning_rate': 2.2000000000000003e-05, 'loss/total_loss': 0.8423672676086426, 'loss/lm_loss': 0.8423672676086426, 'epoch': 0.02}
{'loss': 3.2248, 'grad_norm': 7.415869235992432, 'learning_rate': 2.45e-05, 'loss/total_loss': 0.8112732887268066, 'loss/lm_loss': 0.8112732887268066, 'epoch': 0.02}
{'loss': 3.2523, 'grad_norm': 11.264616012573242, 'learning_rate': 2.7000000000000002e-05, 'loss/total_loss': 0.804378604888916, 'loss/lm_loss': 0.804378604888916, 'epoch': 0.02}
{'loss': 3.2904, 'grad_norm': 11.518588066101074, 'learning_rate': 2.95e-05, 'loss/total_loss': 0.783201789855957, 'loss/lm_loss': 0.783201789855957, 'epoch': 0.03}
{'loss': 3.0883, 'grad_norm': 9.078337669372559, 'learning_rate': 3.2000000000000005e-05, 'loss/total_loss': 0.7695466041564941, 'loss/lm_loss': 0.7695466041564941, 'epoch': 0.03}
{'loss': 3.0548, 'grad_norm': 9.303788185119629, 'learning_rate': 3.45e-05, 'loss/total_loss': 0.7768919944763184, 'loss/lm_loss': 0.7768919944763184, 'epoch': 0.03}
{'loss': 3.0676, 'grad_norm': 7.46334981918335, 'learning_rate': 3.7e-05, 'loss/total_loss': 0.7820945739746094, 'loss/lm_loss': 0.7820945739746094, 'epoch': 0.03}
{'loss': 2.9613, 'grad_norm': 5.894993782043457, 'learning_rate': 3.9500000000000005e-05, 'loss/total_loss': 0.7515359878540039, 'loss/lm_loss': 0.7515359878540039, 'epoch': 0.04}
{'loss': 2.991, 'grad_norm': 7.332219123840332, 'learning_rate': 4.2e-05, 'loss/total_loss': 0.7430573463439941, 'loss/lm_loss': 0.7430573463439941, 'epoch': 0.04}
{'loss': 2.8865, 'grad_norm': 5.245547771453857, 'learning_rate': 4.4500000000000004e-05, 'loss/total_loss': 0.7259438514709473, 'loss/lm_loss': 0.7259438514709473, 'epoch': 0.04}
{'loss': 2.8556, 'grad_norm': 9.30261516571045, 'learning_rate': 4.7e-05, 'loss/total_loss': 0.6979128837585449, 'loss/lm_loss': 0.6979128837585449, 'epoch': 0.04}
{'loss': 2.7817, 'grad_norm': 6.999086380004883, 'learning_rate': 4.9500000000000004e-05, 'loss/total_loss': 0.6731034755706787, 'loss/lm_loss': 0.6731034755706787, 'epoch': 0.05}
{'loss': 2.7116, 'grad_norm': 5.113353729248047, 'learning_rate': 5.2000000000000004e-05, 'loss/total_loss': 0.6785546779632569, 'loss/lm_loss': 0.6785546779632569, 'epoch': 0.05}
{'loss': 2.6389, 'grad_norm': 8.140268325805664, 'learning_rate': 5.45e-05, 'loss/total_loss': 0.6991372108459473, 'loss/lm_loss': 0.6991372108459473, 'epoch': 0.05}
{'loss': 2.6078, 'grad_norm': 7.152487754821777, 'learning_rate': 5.6999999999999996e-05, 'loss/total_loss': 0.6649349689483642, 'loss/lm_loss': 0.6649349689483642, 'epoch': 0.05}
{'loss': 2.5898, 'grad_norm': 5.684049606323242, 'learning_rate': 5.95e-05, 'loss/total_loss': 0.6226088523864746, 'loss/lm_loss': 0.6226088523864746, 'epoch': 0.05}
{'loss': 2.3985, 'grad_norm': 6.721439361572266, 'learning_rate': 6.2e-05, 'loss/total_loss': 0.613558292388916, 'loss/lm_loss': 0.613558292388916, 'epoch': 0.06}
{'loss': 2.2599, 'grad_norm': 10.70878791809082, 'learning_rate': 6.450000000000001e-05, 'loss/total_loss': 0.5209444046020508, 'loss/lm_loss': 0.5209444046020508, 'epoch': 0.06}
{'loss': 1.8768, 'grad_norm': 7.713730812072754, 'learning_rate': 6.7e-05, 'loss/total_loss': 0.44365653991699217, 'loss/lm_loss': 0.44365653991699217, 'epoch': 0.06}
{'loss': 1.6, 'grad_norm': 8.46686840057373, 'learning_rate': 6.95e-05, 'loss/total_loss': 0.3870998382568359, 'loss/lm_loss': 0.3870998382568359, 'epoch': 0.06}
{'loss': 1.3306, 'grad_norm': 6.376093864440918, 'learning_rate': 7.2e-05, 'loss/total_loss': 0.3282908916473389, 'loss/lm_loss': 0.3282908916473389, 'epoch': 0.07}
{'loss': 1.2157, 'grad_norm': 5.838931560516357, 'learning_rate': 7.450000000000001e-05, 'loss/total_loss': 0.2925652742385864, 'loss/lm_loss': 0.2925652742385864, 'epoch': 0.07}
{'loss': 1.1186, 'grad_norm': 5.94431734085083, 'learning_rate': 7.7e-05, 'loss/total_loss': 0.31362411975860593, 'loss/lm_loss': 0.31362411975860593, 'epoch': 0.07}
{'loss': 1.0372, 'grad_norm': 4.999600887298584, 'learning_rate': 7.950000000000001e-05, 'loss/total_loss': 0.276257848739624, 'loss/lm_loss': 0.276257848739624, 'epoch': 0.07}
{'loss': 1.0181, 'grad_norm': 4.580026626586914, 'learning_rate': 8.2e-05, 'loss/total_loss': 0.2792193412780762, 'loss/lm_loss': 0.2792193412780762, 'epoch': 0.07}
{'loss': 0.9396, 'grad_norm': 4.133986473083496, 'learning_rate': 8.450000000000001e-05, 'loss/total_loss': 0.22014281749725342, 'loss/lm_loss': 0.22014281749725342, 'epoch': 0.08}
{'loss': 0.9172, 'grad_norm': 5.583230495452881, 'learning_rate': 8.7e-05, 'loss/total_loss': 0.22978627681732178, 'loss/lm_loss': 0.22978627681732178, 'epoch': 0.08}
{'loss': 0.8298, 'grad_norm': 4.749252796173096, 'learning_rate': 8.950000000000001e-05, 'loss/total_loss': 0.22370100021362305, 'loss/lm_loss': 0.22370100021362305, 'epoch': 0.08}
{'loss': 0.8414, 'grad_norm': 4.104391098022461, 'learning_rate': 9.200000000000001e-05, 'loss/total_loss': 0.22774865627288818, 'loss/lm_loss': 0.22774865627288818, 'epoch': 0.08}
{'loss': 0.8282, 'grad_norm': 4.175021171569824, 'learning_rate': 9.449999999999999e-05, 'loss/total_loss': 0.22140958309173583, 'loss/lm_loss': 0.22140958309173583, 'epoch': 0.09}
{'loss': 0.7873, 'grad_norm': 3.7526307106018066, 'learning_rate': 9.7e-05, 'loss/total_loss': 0.18492225408554078, 'loss/lm_loss': 0.18492225408554078, 'epoch': 0.09}
{'loss': 0.7967, 'grad_norm': 7.809946537017822, 'learning_rate': 9.95e-05, 'loss/total_loss': 0.2139596462249756, 'loss/lm_loss': 0.2139596462249756, 'epoch': 0.09}
{'loss': 0.7541, 'grad_norm': 3.570530652999878, 'learning_rate': 9.99969740525002e-05, 'loss/total_loss': 0.19595130681991577, 'loss/lm_loss': 0.19595130681991577, 'epoch': 0.09}
{'loss': 0.8066, 'grad_norm': 3.667067289352417, 'learning_rate': 9.999319161812542e-05, 'loss/total_loss': 0.20456576347351074, 'loss/lm_loss': 0.20456576347351074, 'epoch': 0.1}
{'loss': 0.7065, 'grad_norm': 3.5426387786865234, 'learning_rate': 9.998940918375067e-05, 'loss/total_loss': 0.15354561805725098, 'loss/lm_loss': 0.15354561805725098, 'epoch': 0.1}
{'loss': 0.7082, 'grad_norm': 4.1439313888549805, 'learning_rate': 9.998562674937591e-05, 'loss/total_loss': 0.17067091464996337, 'loss/lm_loss': 0.17067091464996337, 'epoch': 0.1}
{'loss': 0.678, 'grad_norm': 3.1917216777801514, 'learning_rate': 9.998184431500114e-05, 'loss/total_loss': 0.15250701904296876, 'loss/lm_loss': 0.15250701904296876, 'epoch': 0.1}
{'loss': 0.7173, 'grad_norm': 3.968930244445801, 'learning_rate': 9.997806188062637e-05, 'loss/total_loss': 0.1945812463760376, 'loss/lm_loss': 0.1945812463760376, 'epoch': 0.1}
{'loss': 0.6882, 'grad_norm': 3.104875087738037, 'learning_rate': 9.997427944625162e-05, 'loss/total_loss': 0.15611715316772462, 'loss/lm_loss': 0.15611715316772462, 'epoch': 0.11}
{'loss': 0.7886, 'grad_norm': 5.208214282989502, 'learning_rate': 9.997049701187685e-05, 'loss/total_loss': 0.18612127304077147, 'loss/lm_loss': 0.18612127304077147, 'epoch': 0.11}
{'loss': 0.6453, 'grad_norm': 2.787532329559326, 'learning_rate': 9.996671457750208e-05, 'loss/total_loss': 0.15148162841796875, 'loss/lm_loss': 0.15148162841796875, 'epoch': 0.11}
{'loss': 0.5986, 'grad_norm': 2.6195836067199707, 'learning_rate': 9.996293214312732e-05, 'loss/total_loss': 0.1572311758995056, 'loss/lm_loss': 0.1572311758995056, 'epoch': 0.11}
                                                                                                                                                                           
{'eval_loss': 0.8951213359832764, 'eval_cer': 0.23088957097309834, 'eval_wer': 0.38193486643960933, 'eval_runtime': 1796.4841, 'eval_samples_per_second': 1.487, 'eval_steps_per_second': 0.093, 'epoch': 0.11}
{'loss': 0.6298, 'grad_norm': 3.3386189937591553, 'learning_rate': 9.995914970875255e-05, 'loss/total_loss': 0.17640477418899536, 'loss/lm_loss': 0.17640477418899536, 'epoch': 0.12}
{'loss': 0.6094, 'grad_norm': 3.1546621322631836, 'learning_rate': 9.99553672743778e-05, 'loss/total_loss': 0.11956371068954467, 'loss/lm_loss': 0.11956371068954467, 'epoch': 0.12}
{'loss': 0.6519, 'grad_norm': 3.8808183670043945, 'learning_rate': 9.995158484000304e-05, 'loss/total_loss': 0.14590542316436766, 'loss/lm_loss': 0.14590542316436766, 'epoch': 0.12}
{'loss': 0.6069, 'grad_norm': 2.8619816303253174, 'learning_rate': 9.994780240562827e-05, 'loss/total_loss': 0.1252901792526245, 'loss/lm_loss': 0.1252901792526245, 'epoch': 0.12}
{'loss': 0.6131, 'grad_norm': 2.532047748565674, 'learning_rate': 9.99440199712535e-05, 'loss/total_loss': 0.17076877355575562, 'loss/lm_loss': 0.17076877355575562, 'epoch': 0.12}
{'loss': 0.6134, 'grad_norm': 2.6684393882751465, 'learning_rate': 9.994023753687874e-05, 'loss/total_loss': 0.14503244161605836, 'loss/lm_loss': 0.14503244161605836, 'epoch': 0.13}
{'loss': 0.6273, 'grad_norm': 2.8329083919525146, 'learning_rate': 9.993645510250398e-05, 'loss/total_loss': 0.159951651096344, 'loss/lm_loss': 0.159951651096344, 'epoch': 0.13}
{'loss': 0.6353, 'grad_norm': 2.589616298675537, 'learning_rate': 9.993267266812921e-05, 'loss/total_loss': 0.15410476922988892, 'loss/lm_loss': 0.15410476922988892, 'epoch': 0.13}
{'loss': 0.5878, 'grad_norm': 2.7219362258911133, 'learning_rate': 9.992889023375444e-05, 'loss/total_loss': 0.1563544511795044, 'loss/lm_loss': 0.1563544511795044, 'epoch': 0.13}
{'loss': 0.5926, 'grad_norm': 3.0869884490966797, 'learning_rate': 9.992510779937968e-05, 'loss/total_loss': 0.1546225666999817, 'loss/lm_loss': 0.1546225666999817, 'epoch': 0.14}
{'loss': 0.6003, 'grad_norm': 2.8313653469085693, 'learning_rate': 9.992132536500493e-05, 'loss/total_loss': 0.15303643941879272, 'loss/lm_loss': 0.15303643941879272, 'epoch': 0.14}
{'loss': 0.5717, 'grad_norm': 2.725090503692627, 'learning_rate': 9.991754293063015e-05, 'loss/total_loss': 0.1427558183670044, 'loss/lm_loss': 0.1427558183670044, 'epoch': 0.14}
{'loss': 0.5855, 'grad_norm': 2.6001250743865967, 'learning_rate': 9.99137604962554e-05, 'loss/total_loss': 0.1619763493537903, 'loss/lm_loss': 0.1619763493537903, 'epoch': 0.14}
{'loss': 0.5659, 'grad_norm': 2.8907179832458496, 'learning_rate': 9.990997806188063e-05, 'loss/total_loss': 0.12422640323638916, 'loss/lm_loss': 0.12422640323638916, 'epoch': 0.15}
{'loss': 0.5263, 'grad_norm': 2.2519102096557617, 'learning_rate': 9.990619562750587e-05, 'loss/total_loss': 0.13046327829360962, 'loss/lm_loss': 0.13046327829360962, 'epoch': 0.15}
{'loss': 0.5374, 'grad_norm': 2.7433838844299316, 'learning_rate': 9.990241319313111e-05, 'loss/total_loss': 0.13473426103591918, 'loss/lm_loss': 0.13473426103591918, 'epoch': 0.15}
{'loss': 0.4948, 'grad_norm': 2.2194929122924805, 'learning_rate': 9.989863075875634e-05, 'loss/total_loss': 0.13595881462097167, 'loss/lm_loss': 0.13595881462097167, 'epoch': 0.15}
{'loss': 0.5406, 'grad_norm': 2.2450459003448486, 'learning_rate': 9.989484832438157e-05, 'loss/total_loss': 0.11942466497421264, 'loss/lm_loss': 0.11942466497421264, 'epoch': 0.15}
{'loss': 0.5195, 'grad_norm': 2.511425256729126, 'learning_rate': 9.989106589000681e-05, 'loss/total_loss': 0.13754613399505616, 'loss/lm_loss': 0.13754613399505616, 'epoch': 0.16}
{'loss': 0.5096, 'grad_norm': 2.1286139488220215, 'learning_rate': 9.988728345563205e-05, 'loss/total_loss': 0.11815817356109619, 'loss/lm_loss': 0.11815817356109619, 'epoch': 0.16}
{'loss': 0.5202, 'grad_norm': 2.343761444091797, 'learning_rate': 9.988350102125728e-05, 'loss/total_loss': 0.1507135033607483, 'loss/lm_loss': 0.1507135033607483, 'epoch': 0.16}
{'loss': 0.565, 'grad_norm': 2.613194704055786, 'learning_rate': 9.987971858688253e-05, 'loss/total_loss': 0.11574378013610839, 'loss/lm_loss': 0.11574378013610839, 'epoch': 0.16}
{'loss': 0.5262, 'grad_norm': 2.090736150741577, 'learning_rate': 9.987593615250776e-05, 'loss/total_loss': 0.12807480096817017, 'loss/lm_loss': 0.12807480096817017, 'epoch': 0.17}
{'loss': 0.492, 'grad_norm': 2.1976985931396484, 'learning_rate': 9.9872153718133e-05, 'loss/total_loss': 0.11761305332183838, 'loss/lm_loss': 0.11761305332183838, 'epoch': 0.17}
{'loss': 0.5356, 'grad_norm': 2.281287431716919, 'learning_rate': 9.986837128375823e-05, 'loss/total_loss': 0.13079887628555298, 'loss/lm_loss': 0.13079887628555298, 'epoch': 0.17}
{'loss': 0.5046, 'grad_norm': 2.6083157062530518, 'learning_rate': 9.986458884938347e-05, 'loss/total_loss': 0.119551682472229, 'loss/lm_loss': 0.119551682472229, 'epoch': 0.17}
{'loss': 0.524, 'grad_norm': 2.322176933288574, 'learning_rate': 9.98608064150087e-05, 'loss/total_loss': 0.11340687274932862, 'loss/lm_loss': 0.11340687274932862, 'epoch': 0.17}
{'loss': 0.4437, 'grad_norm': 2.3055999279022217, 'learning_rate': 9.985702398063394e-05, 'loss/total_loss': 0.11097737550735473, 'loss/lm_loss': 0.11097737550735473, 'epoch': 0.18}
{'loss': 0.5322, 'grad_norm': 3.0151054859161377, 'learning_rate': 9.985324154625918e-05, 'loss/total_loss': 0.1507296919822693, 'loss/lm_loss': 0.1507296919822693, 'epoch': 0.18}
{'loss': 0.5363, 'grad_norm': 1.7808469533920288, 'learning_rate': 9.984945911188441e-05, 'loss/total_loss': 0.13341076374053956, 'loss/lm_loss': 0.13341076374053956, 'epoch': 0.18}
{'loss': 0.4968, 'grad_norm': 2.207321882247925, 'learning_rate': 9.984567667750964e-05, 'loss/total_loss': 0.12103159427642822, 'loss/lm_loss': 0.12103159427642822, 'epoch': 0.18}
{'loss': 0.5398, 'grad_norm': 2.7603657245635986, 'learning_rate': 9.984189424313489e-05, 'loss/total_loss': 0.13300533294677735, 'loss/lm_loss': 0.13300533294677735, 'epoch': 0.19}
{'loss': 0.493, 'grad_norm': 1.934424638748169, 'learning_rate': 9.983811180876013e-05, 'loss/total_loss': 0.12434124946594238, 'loss/lm_loss': 0.12434124946594238, 'epoch': 0.19}
