Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:53<00:00, 13.40s/it]
------------------------------------------------------------------------------------------
TOTAL PARAMS: 5,511,386,880
TRAINABLE PARAMS: 161,851,136 (2.9367%)
------------------------------
 > LLM LoRA Params (Trainable):      0
 > Whisper LoRA Params (Trainable): 0
 > Downsampler Params (Frozen): 8,195,840
 > Adapter Params (Frozen): 21,510,144
 > Cross Attention Params (Trainable): 132,145,152
 > CTC Head Params (Trainable): 0
 > Audio Head Params (Trainable): 0
 > Duration Token Params (Trainable): 0
 > Base LLM (Frozen):            4,712,566,784
 > Whisper (Frozen):     636,968,960
==================================================


--- Module Parameters ---
Downsampler Params: 8,195,840
Adapter Params: 21,510,144
Cross-Attention Params: 132,145,152
CTC Head Params: 0
Audio Head Params: 0
Duration Params: 0
Whisper Params: 636,968,960
LLM Params: 4,844,711,936
----------------------------
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                          

{'loss': 8.9658, 'grad_norm': 64.0661392211914, 'learning_rate': 2.0000000000000003e-06, 'loss/total_loss': 2.2109745025634764, 'loss/lm_loss': 2.2109745025634764, 'epoch': 0.0}
{'loss': 6.4897, 'grad_norm': 21.278554916381836, 'learning_rate': 4.5e-06, 'loss/total_loss': 1.5681976318359374, 'loss/lm_loss': 1.5681976318359374, 'epoch': 0.0}
{'loss': 5.8848, 'grad_norm': 10.997214317321777, 'learning_rate': 7.000000000000001e-06, 'loss/total_loss': 1.5197977066040038, 'loss/lm_loss': 1.5197977066040038, 'epoch': 0.01}
{'loss': 5.3277, 'grad_norm': 10.583581924438477, 'learning_rate': 9.5e-06, 'loss/total_loss': 1.393411636352539, 'loss/lm_loss': 1.393411636352539, 'epoch': 0.01}
{'loss': 5.1043, 'grad_norm': 14.640040397644043, 'learning_rate': 1.2e-05, 'loss/total_loss': 1.2811675071716309, 'loss/lm_loss': 1.2811675071716309, 'epoch': 0.01}
{'loss': 4.9651, 'grad_norm': 19.698558807373047, 'learning_rate': 1.45e-05, 'loss/total_loss': 1.223417091369629, 'loss/lm_loss': 1.223417091369629, 'epoch': 0.01}
{'loss': 4.738, 'grad_norm': 19.1275634765625, 'learning_rate': 1.7000000000000003e-05, 'loss/total_loss': 1.184761142730713, 'loss/lm_loss': 1.184761142730713, 'epoch': 0.02}
{'loss': 4.7669, 'grad_norm': 16.72685432434082, 'learning_rate': 1.9500000000000003e-05, 'loss/total_loss': 1.1773945808410644, 'loss/lm_loss': 1.1773945808410644, 'epoch': 0.02}
{'loss': 4.6543, 'grad_norm': 20.266889572143555, 'learning_rate': 2.2000000000000003e-05, 'loss/total_loss': 1.15877685546875, 'loss/lm_loss': 1.15877685546875, 'epoch': 0.02}
{'loss': 4.4663, 'grad_norm': 17.83206558227539, 'learning_rate': 2.45e-05, 'loss/total_loss': 1.1270803451538085, 'loss/lm_loss': 1.1270803451538085, 'epoch': 0.02}
{'loss': 4.5364, 'grad_norm': 28.69335174560547, 'learning_rate': 2.7000000000000002e-05, 'loss/total_loss': 1.1330662727355958, 'loss/lm_loss': 1.1330662727355958, 'epoch': 0.02}
{'loss': 4.4945, 'grad_norm': 27.415117263793945, 'learning_rate': 2.95e-05, 'loss/total_loss': 1.0867191314697267, 'loss/lm_loss': 1.0867191314697267, 'epoch': 0.03}
{'loss': 4.359, 'grad_norm': 16.998897552490234, 'learning_rate': 3.2000000000000005e-05, 'loss/total_loss': 1.085298442840576, 'loss/lm_loss': 1.085298442840576, 'epoch': 0.03}
{'loss': 4.232, 'grad_norm': 12.380143165588379, 'learning_rate': 3.45e-05, 'loss/total_loss': 1.0694547653198243, 'loss/lm_loss': 1.0694547653198243, 'epoch': 0.03}
{'loss': 4.2316, 'grad_norm': 13.845978736877441, 'learning_rate': 3.7e-05, 'loss/total_loss': 1.0635662078857422, 'loss/lm_loss': 1.0635662078857422, 'epoch': 0.03}
{'loss': 4.1695, 'grad_norm': 16.771574020385742, 'learning_rate': 3.9500000000000005e-05, 'loss/total_loss': 1.0393500328063965, 'loss/lm_loss': 1.0393500328063965, 'epoch': 0.04}
{'loss': 4.174, 'grad_norm': 10.608941078186035, 'learning_rate': 4.2e-05, 'loss/total_loss': 1.0317944526672362, 'loss/lm_loss': 1.0317944526672362, 'epoch': 0.04}
{'loss': 4.062, 'grad_norm': 11.18581485748291, 'learning_rate': 4.4500000000000004e-05, 'loss/total_loss': 1.0186643600463867, 'loss/lm_loss': 1.0186643600463867, 'epoch': 0.04}
{'loss': 3.9636, 'grad_norm': 10.94223403930664, 'learning_rate': 4.7e-05, 'loss/total_loss': 0.9803750038146972, 'loss/lm_loss': 0.9803750038146972, 'epoch': 0.04}
{'loss': 3.9185, 'grad_norm': 10.800823211669922, 'learning_rate': 4.9500000000000004e-05, 'loss/total_loss': 0.9546952247619629, 'loss/lm_loss': 0.9546952247619629, 'epoch': 0.05}
{'loss': 3.8389, 'grad_norm': 13.516332626342773, 'learning_rate': 5.2000000000000004e-05, 'loss/total_loss': 0.9652090072631836, 'loss/lm_loss': 0.9652090072631836, 'epoch': 0.05}
{'loss': 3.8181, 'grad_norm': 11.131290435791016, 'learning_rate': 5.45e-05, 'loss/total_loss': 0.9741222381591796, 'loss/lm_loss': 0.9741222381591796, 'epoch': 0.05}
{'loss': 3.835, 'grad_norm': 13.492391586303711, 'learning_rate': 5.6999999999999996e-05, 'loss/total_loss': 0.9966715812683106, 'loss/lm_loss': 0.9966715812683106, 'epoch': 0.05}
{'loss': 3.823, 'grad_norm': 9.81602954864502, 'learning_rate': 5.95e-05, 'loss/total_loss': 0.9240285873413085, 'loss/lm_loss': 0.9240285873413085, 'epoch': 0.05}
