Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:31<00:00,  7.83s/it]
------------------------------------------------------------------------------------------
TOTAL PARAMS: 5,518,202,624
TRAINABLE PARAMS: 168,666,880 (3.0566%)
------------------------------
 > LLM LoRA Params (Trainable):      6,815,744
 > Whisper LoRA Params (Trainable): 0
 > Downsampler Params (Frozen): 8,195,840
 > Adapter Params (Frozen): 21,510,144
 > Cross Attention Params (Trainable): 132,145,152
 > CTC Head Params (Trainable): 0
 > Audio Head Params (Trainable): 0
 > Duration Token Params (Trainable): 0
 > Base LLM (Frozen):            4,712,566,784
 > Whisper (Frozen):     636,968,960
==================================================


--- Module Parameters ---
Downsampler Params: 8,195,840
Adapter Params: 21,510,144
Cross-Attention Params: 132,145,152
CTC Head Params: 0
Audio Head Params: 0
Duration Params: 0
Whisper Params: 636,968,960
LLM Params: 4,851,527,680
----------------------------
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                          

{'loss': 9.2024, 'grad_norm': 59.202613830566406, 'learning_rate': 2.0000000000000003e-06, 'loss/total_loss': 2.2152826309204103, 'loss/lm_loss': 2.2152826309204103, 'epoch': 0.0}
{'loss': 6.5786, 'grad_norm': 20.237699508666992, 'learning_rate': 4.5e-06, 'loss/total_loss': 1.5816165924072265, 'loss/lm_loss': 1.5816165924072265, 'epoch': 0.0}
{'loss': 5.9418, 'grad_norm': 13.700589179992676, 'learning_rate': 7.000000000000001e-06, 'loss/total_loss': 1.5167838096618653, 'loss/lm_loss': 1.5167838096618653, 'epoch': 0.01}
{'loss': 5.5595, 'grad_norm': 8.600076675415039, 'learning_rate': 9.5e-06, 'loss/total_loss': 1.3809203147888183, 'loss/lm_loss': 1.3809203147888183, 'epoch': 0.01}
{'loss': 5.0943, 'grad_norm': 22.76116371154785, 'learning_rate': 1.2e-05, 'loss/total_loss': 1.2797686576843261, 'loss/lm_loss': 1.2797686576843261, 'epoch': 0.01}
{'loss': 4.8358, 'grad_norm': 14.887636184692383, 'learning_rate': 1.4249999999999999e-05, 'loss/total_loss': 1.1807727813720703, 'loss/lm_loss': 1.1807727813720703, 'epoch': 0.01}
{'loss': 4.7145, 'grad_norm': 12.599298477172852, 'learning_rate': 1.675e-05, 'loss/total_loss': 1.1914355278015136, 'loss/lm_loss': 1.1914355278015136, 'epoch': 0.01}
{'loss': 4.3888, 'grad_norm': 10.517413139343262, 'learning_rate': 1.925e-05, 'loss/total_loss': 1.0720790863037108, 'loss/lm_loss': 1.0720790863037108, 'epoch': 0.02}
{'loss': 4.0815, 'grad_norm': 10.599442481994629, 'learning_rate': 2.175e-05, 'loss/total_loss': 1.0424165725708008, 'loss/lm_loss': 1.0424165725708008, 'epoch': 0.02}
{'loss': 3.9056, 'grad_norm': 7.776212692260742, 'learning_rate': 2.425e-05, 'loss/total_loss': 0.9597732543945312, 'loss/lm_loss': 0.9597732543945312, 'epoch': 0.02}
{'loss': 3.6305, 'grad_norm': 8.589643478393555, 'learning_rate': 2.6750000000000003e-05, 'loss/total_loss': 0.9139923095703125, 'loss/lm_loss': 0.9139923095703125, 'epoch': 0.02}
{'loss': 3.726, 'grad_norm': 8.381013870239258, 'learning_rate': 2.925e-05, 'loss/total_loss': 0.9286131858825684, 'loss/lm_loss': 0.9286131858825684, 'epoch': 0.02}
{'loss': 3.3918, 'grad_norm': 10.430830001831055, 'learning_rate': 3.175e-05, 'loss/total_loss': 0.910211181640625, 'loss/lm_loss': 0.910211181640625, 'epoch': 0.03}
{'loss': 3.3117, 'grad_norm': 6.327520847320557, 'learning_rate': 3.4250000000000006e-05, 'loss/total_loss': 0.8198600769042969, 'loss/lm_loss': 0.8198600769042969, 'epoch': 0.03}
{'loss': 3.2137, 'grad_norm': 5.675121307373047, 'learning_rate': 3.675e-05, 'loss/total_loss': 0.8316634178161622, 'loss/lm_loss': 0.8316634178161622, 'epoch': 0.03}
{'loss': 3.1497, 'grad_norm': 5.604605197906494, 'learning_rate': 3.9250000000000005e-05, 'loss/total_loss': 0.801827335357666, 'loss/lm_loss': 0.801827335357666, 'epoch': 0.03}
{'loss': 3.0376, 'grad_norm': 5.724630832672119, 'learning_rate': 4.175e-05, 'loss/total_loss': 0.7453962802886963, 'loss/lm_loss': 0.7453962802886963, 'epoch': 0.03}
{'loss': 2.9528, 'grad_norm': 5.693782329559326, 'learning_rate': 4.4250000000000005e-05, 'loss/total_loss': 0.7298320770263672, 'loss/lm_loss': 0.7298320770263672, 'epoch': 0.04}
{'loss': 2.9058, 'grad_norm': 5.0589799880981445, 'learning_rate': 4.6750000000000005e-05, 'loss/total_loss': 0.7119825839996338, 'loss/lm_loss': 0.7119825839996338, 'epoch': 0.04}
{'loss': 2.8868, 'grad_norm': 5.2376708984375, 'learning_rate': 4.9250000000000004e-05, 'loss/total_loss': 0.708753252029419, 'loss/lm_loss': 0.708753252029419, 'epoch': 0.04}
{'loss': 2.7135, 'grad_norm': 5.20335578918457, 'learning_rate': 5.175e-05, 'loss/total_loss': 0.7007405757904053, 'loss/lm_loss': 0.7007405757904053, 'epoch': 0.04}
{'loss': 2.7722, 'grad_norm': 4.951082706451416, 'learning_rate': 5.4250000000000004e-05, 'loss/total_loss': 0.6977824211120606, 'loss/lm_loss': 0.6977824211120606, 'epoch': 0.04}
{'loss': 2.6052, 'grad_norm': 5.160200119018555, 'learning_rate': 5.6750000000000004e-05, 'loss/total_loss': 0.6820399284362793, 'loss/lm_loss': 0.6820399284362793, 'epoch': 0.05}
{'loss': 2.6638, 'grad_norm': 5.209568500518799, 'learning_rate': 5.9250000000000004e-05, 'loss/total_loss': 0.6583817481994629, 'loss/lm_loss': 0.6583817481994629, 'epoch': 0.05}
{'loss': 2.6026, 'grad_norm': 5.867938995361328, 'learning_rate': 6.175000000000001e-05, 'loss/total_loss': 0.6423610210418701, 'loss/lm_loss': 0.6423610210418701, 'epoch': 0.05}
{'loss': 2.4248, 'grad_norm': 6.281619071960449, 'learning_rate': 6.425e-05, 'loss/total_loss': 0.6007609844207764, 'loss/lm_loss': 0.6007609844207764, 'epoch': 0.05}
{'loss': 2.5374, 'grad_norm': 8.848211288452148, 'learning_rate': 6.675e-05, 'loss/total_loss': 0.6377407550811768, 'loss/lm_loss': 0.6377407550811768, 'epoch': 0.05}
{'loss': 2.4532, 'grad_norm': 5.386607646942139, 'learning_rate': 6.925e-05, 'loss/total_loss': 0.575632381439209, 'loss/lm_loss': 0.575632381439209, 'epoch': 0.06}
{'loss': 2.3915, 'grad_norm': 6.2065229415893555, 'learning_rate': 7.175000000000001e-05, 'loss/total_loss': 0.6024708271026611, 'loss/lm_loss': 0.6024708271026611, 'epoch': 0.06}
{'loss': 2.3642, 'grad_norm': 7.138162136077881, 'learning_rate': 7.425e-05, 'loss/total_loss': 0.6138632297515869, 'loss/lm_loss': 0.6138632297515869, 'epoch': 0.06}
{'loss': 2.2331, 'grad_norm': 5.097021102905273, 'learning_rate': 7.675e-05, 'loss/total_loss': 0.5633241176605225, 'loss/lm_loss': 0.5633241176605225, 'epoch': 0.06}
{'loss': 2.2302, 'grad_norm': 6.685792446136475, 'learning_rate': 7.925e-05, 'loss/total_loss': 0.5423247814178467, 'loss/lm_loss': 0.5423247814178467, 'epoch': 0.07}
{'loss': 2.1511, 'grad_norm': 5.54220724105835, 'learning_rate': 8.175000000000001e-05, 'loss/total_loss': 0.5645520687103271, 'loss/lm_loss': 0.5645520687103271, 'epoch': 0.07}
{'loss': 2.1555, 'grad_norm': 5.696403980255127, 'learning_rate': 8.425e-05, 'loss/total_loss': 0.525958776473999, 'loss/lm_loss': 0.525958776473999, 'epoch': 0.07}
{'loss': 2.006, 'grad_norm': 5.680019378662109, 'learning_rate': 8.675000000000001e-05, 'loss/total_loss': 0.4978792190551758, 'loss/lm_loss': 0.4978792190551758, 'epoch': 0.07}
{'loss': 1.8942, 'grad_norm': 5.563302993774414, 'learning_rate': 8.925e-05, 'loss/total_loss': 0.4720427989959717, 'loss/lm_loss': 0.4720427989959717, 'epoch': 0.07}
{'loss': 1.892, 'grad_norm': 5.469903469085693, 'learning_rate': 9.175000000000001e-05, 'loss/total_loss': 0.48500995635986327, 'loss/lm_loss': 0.48500995635986327, 'epoch': 0.08}
{'loss': 1.7057, 'grad_norm': 8.128071784973145, 'learning_rate': 9.425e-05, 'loss/total_loss': 0.4320343494415283, 'loss/lm_loss': 0.4320343494415283, 'epoch': 0.08}
{'loss': 1.5933, 'grad_norm': 6.52252197265625, 'learning_rate': 9.675000000000001e-05, 'loss/total_loss': 0.3924877405166626, 'loss/lm_loss': 0.3924877405166626, 'epoch': 0.08}
{'loss': 1.5415, 'grad_norm': 5.0804219245910645, 'learning_rate': 9.925000000000001e-05, 'loss/total_loss': 0.4045168399810791, 'loss/lm_loss': 0.4045168399810791, 'epoch': 0.08}
{'loss': 1.4887, 'grad_norm': 5.679379463195801, 'learning_rate': 9.999762599199621e-05, 'loss/total_loss': 0.3746409177780151, 'loss/lm_loss': 0.3746409177780151, 'epoch': 0.08}
{'loss': 1.3724, 'grad_norm': 5.515626907348633, 'learning_rate': 9.999423455199079e-05, 'loss/total_loss': 0.34525203704833984, 'loss/lm_loss': 0.34525203704833984, 'epoch': 0.09}
{'loss': 1.2693, 'grad_norm': 5.1419501304626465, 'learning_rate': 9.999084311198536e-05, 'loss/total_loss': 0.3183233022689819, 'loss/lm_loss': 0.3183233022689819, 'epoch': 0.09}
{'loss': 1.2462, 'grad_norm': 5.014566421508789, 'learning_rate': 9.998745167197993e-05, 'loss/total_loss': 0.2975801467895508, 'loss/lm_loss': 0.2975801467895508, 'epoch': 0.09}
{'loss': 1.2129, 'grad_norm': 6.283967018127441, 'learning_rate': 9.99840602319745e-05, 'loss/total_loss': 0.29033360481262205, 'loss/lm_loss': 0.29033360481262205, 'epoch': 0.09}
{'loss': 1.1926, 'grad_norm': 4.220173358917236, 'learning_rate': 9.998066879196907e-05, 'loss/total_loss': 0.28774964809417725, 'loss/lm_loss': 0.28774964809417725, 'epoch': 0.09}
{'loss': 1.1161, 'grad_norm': 4.107870578765869, 'learning_rate': 9.997727735196366e-05, 'loss/total_loss': 0.26148157119750975, 'loss/lm_loss': 0.26148157119750975, 'epoch': 0.1}
{'loss': 1.1082, 'grad_norm': 4.61905574798584, 'learning_rate': 9.997388591195823e-05, 'loss/total_loss': 0.265000581741333, 'loss/lm_loss': 0.265000581741333, 'epoch': 0.1}
{'loss': 1.0349, 'grad_norm': 4.93529748916626, 'learning_rate': 9.99704944719528e-05, 'loss/total_loss': 0.2527276039123535, 'loss/lm_loss': 0.2527276039123535, 'epoch': 0.1}
{'loss': 0.9843, 'grad_norm': 6.600184917449951, 'learning_rate': 9.996710303194737e-05, 'loss/total_loss': 0.23531663417816162, 'loss/lm_loss': 0.23531663417816162, 'epoch': 0.1}
                                                                                                                                                                          
{'eval_loss': 1.1779736280441284, 'eval_cer': 0.44893942547496724, 'eval_wer': 0.6209123757904246, 'eval_runtime': 1378.2006, 'eval_samples_per_second': 2.519, 'eval_steps_per_second': 0.157, 'epoch': 0.1}
{'loss': 0.9726, 'grad_norm': 4.676865100860596, 'learning_rate': 9.996371159194194e-05, 'loss/total_loss': 0.2268467903137207, 'loss/lm_loss': 0.2268467903137207, 'epoch': 0.1}
{'loss': 1.029, 'grad_norm': 3.881228446960449, 'learning_rate': 9.996032015193652e-05, 'loss/total_loss': 0.25492565631866454, 'loss/lm_loss': 0.25492565631866454, 'epoch': 0.11}
{'loss': 0.9652, 'grad_norm': 6.584850311279297, 'learning_rate': 9.995692871193109e-05, 'loss/total_loss': 0.25421717166900637, 'loss/lm_loss': 0.25421717166900637, 'epoch': 0.11}
{'loss': 0.9146, 'grad_norm': 3.741609811782837, 'learning_rate': 9.995353727192566e-05, 'loss/total_loss': 0.24051079750061036, 'loss/lm_loss': 0.24051079750061036, 'epoch': 0.11}
{'loss': 0.9139, 'grad_norm': 4.630264759063721, 'learning_rate': 9.995014583192023e-05, 'loss/total_loss': 0.23970346450805663, 'loss/lm_loss': 0.23970346450805663, 'epoch': 0.11}
{'loss': 0.8338, 'grad_norm': 3.0790908336639404, 'learning_rate': 9.99467543919148e-05, 'loss/total_loss': 0.20674853324890136, 'loss/lm_loss': 0.20674853324890136, 'epoch': 0.11}
{'loss': 0.8468, 'grad_norm': 4.8829345703125, 'learning_rate': 9.994336295190939e-05, 'loss/total_loss': 0.2100276231765747, 'loss/lm_loss': 0.2100276231765747, 'epoch': 0.12}
{'loss': 0.8141, 'grad_norm': 3.601757049560547, 'learning_rate': 9.993997151190396e-05, 'loss/total_loss': 0.22984087467193604, 'loss/lm_loss': 0.22984087467193604, 'epoch': 0.12}
{'loss': 0.7984, 'grad_norm': 4.318940162658691, 'learning_rate': 9.993658007189853e-05, 'loss/total_loss': 0.1985727071762085, 'loss/lm_loss': 0.1985727071762085, 'epoch': 0.12}
{'loss': 0.8023, 'grad_norm': 4.258546352386475, 'learning_rate': 9.99331886318931e-05, 'loss/total_loss': 0.18335968255996704, 'loss/lm_loss': 0.18335968255996704, 'epoch': 0.12}
{'loss': 0.7231, 'grad_norm': 6.456453800201416, 'learning_rate': 9.992979719188767e-05, 'loss/total_loss': 0.1702280282974243, 'loss/lm_loss': 0.1702280282974243, 'epoch': 0.12}
{'loss': 0.8109, 'grad_norm': 3.3018994331359863, 'learning_rate': 9.992640575188225e-05, 'loss/total_loss': 0.1972793459892273, 'loss/lm_loss': 0.1972793459892273, 'epoch': 0.13}
{'loss': 0.7622, 'grad_norm': 4.021116256713867, 'learning_rate': 9.992301431187682e-05, 'loss/total_loss': 0.19669772386550904, 'loss/lm_loss': 0.19669772386550904, 'epoch': 0.13}
{'loss': 0.7666, 'grad_norm': 4.597307205200195, 'learning_rate': 9.99196228718714e-05, 'loss/total_loss': 0.2004640817642212, 'loss/lm_loss': 0.2004640817642212, 'epoch': 0.13}
